hershey,unicode0,unicode1
3060,74,119869
3061,75,119870
3062,76,119871
3063,77,119872
3064,78,119873
3065,79,119874
3066,80,119875
3067,81,119876
3068,82,119877
3069,83,119878
3070,84,119879
3071,85,119880
3072,86,119881
3073,87,119882
3074,88,119883
3075,89,119884
3076,90,119885
3101,97,
3102,98,
3103,99,
3104,100,
3105,101,
3106,102,
3107,103,
3108,104,
3109,105,
3110,106,
3111,107,
3112,108,
3113,109,
3114,110,
3115,111,
3116,112,
3117,113,
3118,114,
3119,115,
3120,116,
3121,117,
3122,118,
3123,119,
3124,120,
3125,121,
3126,122,
3151,97,119886
3152,98,119887
3153,99,119888
3154,100,119889
3155,101,119890
3156,102,119891
3157,103,119892
3158,104,
3159,105,119894
3160,106,119895
3161,107,119896
3162,108,119897
3163,109,119898
3164,110,119899
3165,111,119900
3166,112,119901
3167,113,119902
3168,114,119903
3169,115,119904
3170,116,119905
3171,117,119906
3172,118,119907
3173,119,119908
3174,120,119909
3175,121,119910
3176,122,119911
3197,8203,
3198,8194,
3199,8195,32
3200,48,
3201,49,
3202,50,
3203,51,
3204,52,
3205,53,
3206,54,
3207,55,
3208,56,
3209,57,
3210,46,
3211,44,
3212,58,
3213,59,
3214,33,
3215,63,
3216,8216,
3217,8217,
3218,38,
3219,36,
3220,47,
3221,40,
3222,41,
3223,42,
3224,45,
3225,43,
3226,61,
3227,8242,39
3228,8243,34
3229,176,
3247,8203,
3248,8194,
3249,8195,32
3250,48,
3251,49,
3252,50,
3253,51,
3254,52,
3255,53,
3256,54,
3257,55,
3258,56,
3259,57,
3260,46,
3261,44,
3262,58,
3263,59,
3264,33,
3265,63,
3266,8216,
3267,8217,
3268,38,
3269,36,
3270,47,
3271,40,
3272,41,
3273,42,
3274,45,
3275,43,
3276,61,
3277,8242,39
3278,8243,34
3279,176,
3301,65,120068
3302,66,120069
3303,67,
3304,68,120071
3305,69,120072
3306,70,120073
3307,71,120074
3308,72,
3309,73,
3310,74,120077
3311,75,120078
3312,76,120079
3313,77,120080
3314,78,120081
3315,79,120082
3316,80,120083
3317,81,120084
3318,82,
3319,83,120086
3320,84,120087
3321,85,120088
3322,86,120089
3323,87,120090
3324,88,120091
3325,89,120092
3326,90,
3401,120094,97
3402,120095,98
3403,120096,99
3404,120097,100
3405,120098,101
3406,120099,102
3407,120100,103
3408,120101,104
3409,120102,105
3410,120103,106
3411,120104,107
3412,120105,108
3413,120106,109
3414,120107,110
3415,120108,111
3416,120109,112
3417,120110,113
3418,120111,114
3419,120112,115
3420,120113,116
3421,120114,117
3422,120115,118
3423,120116,119
3424,120117,120
3425,120118,121
3426,120119,122
3427,115,
3428,223,
3429,42793,
3501,65,
3502,66,
3503,67,
3504,68,
3505,69,
3506,70,
3507,71,
3508,72,
3509,73,
3510,74,
3511,75,
3512,76,
3513,77,
3514,78,
3515,79,
3516,80,
3517,81,
3518,82,
3519,83,
3520,84,
3521,85,
3522,86,
3523,87,
3524,88,
3525,89,
3526,90,
3601,97,
3602,98,
3603,99,
3604,100,
3605,101,
3606,102,
3607,103,
3608,104,
3609,105,
3610,106,
3611,107,
3612,108,
3613,109,
3614,110,
3615,111,
3616,112,
3617,113,
3618,114,
3619,115,
3620,116,
3621,117,
3622,118,
3623,119,
3624,120,
3625,121,
3626,122,
3697,8203,
3698,8194,
3699,8195,32
3700,48,
3701,49,
3702,50,
3703,51,
3704,52,
3705,53,
3706,54,
3707,55,
3708,56,
3709,57,
3710,46,
3711,44,
3712,58,
3713,59,
3714,33,
3715,63,
3716,8216,
3717,8217,
3718,38,
3719,36,
3720,47,
3721,40,
3722,41,
3723,42,
3724,45,
3725,43,
3726,61,
3727,8242,39
3728,8243,34
3729,176,
3801,65,
3802,66,
3803,67,
3804,68,
3805,69,
3806,70,
3807,71,
3808,72,
3809,73,
3810,74,
3811,75,
3812,76,
3813,77,
3814,78,
3815,79,
3816,80,
3817,81,
3818,82,
3819,83,
3820,84,
3821,85,
3822,86,
3823,87,
3824,88,
3825,89,
3826,90,
3901,97,
3902,98,
3903,99,
3904,100,
3905,101,
3906,102,
3907,103,
3908,104,
3909,105,
3910,106,
3911,107,
3912,108,
3913,109,
3914,110,
3915,111,
3916,112,
3917,113,
3918,114,
3919,115,
3920,116,
3921,117,
3922,118,
3923,119,
3924,120,
3925,121,
3926,122,
